Q/A,QA,Category_1
question,"And you say there may be no human, but again, we -- we can't test these compounds on humans ; correct?",bin-d
answer,"They have not been tested on humans, but sometimes you can reach the conclusion that they are human carcinogens because humans have been accidentally exposed to them .",sno
question,"Right. But outside of accidental exposure of some kind, certainly ethically you -- you can't test cancer-causing compounds on humans, correct?",bin-d
answer,"That's correct. But of course most of these polynuclear aromatic hydrocarbons are present in air, so humans are being exposed to them continuously.",sno
question,"My question, however, is: You can't test these as you Would in animal tests to see whether or not they promote tumors in humans ; correct?",bin-d
answer,"No, you can't . You can't ethically test a suspect carcinogen by giving it to a human .",n-d
question,And so science is really relegated to doing animal studies and then trying to extrapolate that information to humans; correct?,bin-d
answer,"Scicuce is -- Part of science is to do -- develop proper 3srenxs .vi animal models to try to make extrapolations to humans, yes .",sno
question,And that's certainly what was being done with the mouse skin-painting activity ; correct?,bin-d
answer,"Well what was -- The mouse skin-painting activity was the result of an observation that you could produce tumors from cigarette smoke condensate on mouse skin at the maximum tolerated dose . Whether or not that relates to humans is unknown . I think many scientists will I 1 tell you that it's a very poor model in that it -- it's the wrong epithelium, the tumors are not like human tumors . There are many reasons to believe this -- this may not be and is probably not a good model at all .",sno
question,And most of those scientists are with the tobacco industry; correct?,bin-d
answer,"No, no, no .",n
answer,The National Toxicology Program is -- is beginning to abandon the idea of maximum tolerated doses as a proper means of screening chemicals for their carcinogenic effect.,sno
question,"There are many, many scientists that believe, however, that the mouse skin-painting is good science; isn't that correct?",bin-d
answer,". Principally the mouse skin-painting population of scientists, those who do inhalation work, would certainly say that that is the proper model .",sno
question,And the principal group that opposes the mouse skin-painting model are -- are those that either are -- reside in or work for the tobacco companies; correct?,sno
answer,"That's not correct . National Cancer Institute under the Tobacco Working Group had great doubts about this model but used it, and also spent an enormous amount of money trying to develop inhalation models .",sno
question,"Did Lorillard ever make a public pronouncement in an advertisement in a newspaper, with regard to any of their scientific work, that smoke product contained promoters and initiators for cancer?",bin
answer,"On mouse skin would have been the proper statement, but no, we did not make it .",n-d
question,Did Lorillard ever develop any new tests for carcinogenicity?,bin
answer,"No. Lorillard participated in some of the development of the technology that was used in inhalation work, but we did not specifically develop a new test .",n-d
question,Did Lorillard ever do research that attempted to relate human disease to smoking?,bin
answer,"I don't know what you mean by that, ""relate human disease to smoking ."" Lorillard sponsors, certainly, The Council for Tobacco Research ; Lorillard, certainly, participated in the Tobacco Working Group activities of the National Cancer Institute; Lorillard sponsored work at different institutions over time . That's the nature of the work that was done.",sno
question,Did Lorillard ever conduct experiments which required large doses of-- of carcinogens to show the additive effect of smoking?,bin
answer,"I'm sorry, what -- I'm not sure I understand what type of experiment you're talking about .",dno
question,Any type of experiments that required large doses of carcinogens to show the additive effect of smoking.,sno
answer,"Well I'm not sure the mouse skin-painting work that was for promoters was done in that way . You would add an initiator, either benzpyrene or some other initiator, and then apply a fraction of tobacco smoke following that . So I guess that meets your criteria, that type of experiment. But I'm not sure I understand the relevance of your question .",sno
question,"Showing you what's previously been marked as Plaintiffs' Exhibit 1526, this is a memorandum dated March 31, 1980 on Philip Morris letterhead . It is a letter from -- looks like Bob Seligman -- Seligman to you dated -- I think I've already given the date -- yes -- and it bears Bates number 01347175 through 177 . Have you seen this document before?",bin-d
answer,I have .,y
question,"Do you recall receiving this correspondence at approximately the date of the letter, in March of 1980?",bin
answer,"No, I do not.",n
question,When is the last time you recall seeing this document?,wh
answer,"In preparation for an earlier deposition, I believe .",so
question,Who -- Who is Robert Seligman?,wh
answer,"He was, according to the letterhead, vice-president for research, Philip Morris .",sno
question,What was the occasion for him corresponding with you in March of 1980?,wh
answer,I believe I was a member of a committee which was to look at the various research activities of the -- being sponsored by the industry for the purpose of determining whether or not the overall I 1 activity should be modified or augmented in some way .,sno
question,"In this letter Mr . Seligman says that ""Mr. J . C . Bowling of our New York Office asked that I send you our recommendations for industry research which we prepared last year."" And then at the bottom of that first paragraph he says, ""Additionally, I have added a list of three subjects which I feel should be avoided."" See that?",bin-d
answer,"Yes, I do .",y
question,"Then on the last page he has a list of three items with a heading ""SUBJECTS TO BE AVOIDED ."" Subject one, ""Developing new tests for carcinogenicity . Number two, ""Attempt to relate human disease to smolting."" And number three, ""Conduct experiments which require large doses of carcinogen to show additive effect of smoking ."" Do you -- do you see that?",bin-d
answer,I do .,y
question,There's some handwriting around that . Do you recognize that handwriting?,bin
answer,May be mine . I'm not sure .,dno
question,Do you -- Do you recall the items here that are listed as subjects to be avoided being a subject of discussion 1 in the committee?,bin
answer,"I can't be sure, but I -- I believe he maybe came and presented his thoughts to the committee .",dno
question,And is it a fair statement that the subjects to be avoided were kinds of tests that may very -- may very well be a stronger link or evidence of a stronger link between smoking and human disease?,bin
answer,"No. Developing new tests for carcinogenicity, for example, I would agree with him that there was so much activity going on in the scientific community with respect to this that I don't think we could have reasonably contribided anything . So I think just -- just from a knowledge of what was happening in the scientific community, that would -- to me was an appropriate recommendation .",n-d
question,"With the industry taking a fairly strong position that you can't extrapolate from mouse skin-painting or other animal tests to humans, why would the industry not be related -- interested in trying to attempt to relate human disease to smoking?",wh-d
answer,"I don't understand -- That basically would be more epidemiological work, and I would say that, again, the feeling that there was nothing to be learned by doing more epidemiology .",sno
question,Isn't it more accurate to say that the tobacco industry didn't want to have epidemiology done that confirmed the epidemiology of others and have it be either authored by or supported by the industry?,bin-d
answer,"No, I think the industry accepts the epidemiology that's been done, certainly accepts it today. We indicate that smoking is a risk factor.",n-d
question,Well the epidemiology concludes that it is a risk factor that has an enormous increase in the relative risk of cancer compared to non-smokers ; correct?,bin-d
answer,"Depends on the study, but certainly they -- there have been enough of them to conclude there's an elevated risk that I accept that statistical association and -- and the fact that it is a risk factor .",sno
question,"And in fact, as we discussed a few moments ago, the fact that you can't do ethically testing of carcinogens on humans, the -- the human experiment, if you will, that we have is to do epidemiological studies of smokers to determine whether or not there is an increased risk associated with smoking ; correct?",bin-d
answer,Correct .,y
question,"And in that sense, years and years and years of smoking is the experiment, is it not, for humans?",bin-d
answer,"Yes. But in this context he's saying enough of that work's been done, we're not going to learn anything by sponsoring more of it . Nothing unreasonable about that.",y-d
question,"In the third item about attempting to conduct experiments which require large doses of carcinogen to show additive effects of smoking, can you read the handwriting that's written next to that one? Does it say ""implantation?""",bin-d
answer,"I think it says ""implantation, et cetera .""",sno
question,Do you know what that refers to?,wh
answer,"What it would, I think -- I know what implantation would refer to, and that is basically you implant or instill into the animal large doses of a carcinogen and then follow it with tobacco smoke, and I would agree that's a meaning -- meaningless experiment .",sno
question,. Were there other types of research and testing that the industry agreed should not be done?,bin
question,What work did Lorillard do to remove potential disease-causing ingredients from smoke?,wh
answer,"Well we've done work throughout my career with the company that relate to removing particulate matter and other specific materials through filters, was the maj or part of it, reduction in particulate matter of cigarettes, development of selected filters.",sno
question,"Showing you now what's been marked as Plaintiffs' Exhibit 1241, it is a memorandum on Lorillard letterhead dated February 24, 1986 from you to Dr. F . J . Schultz, subject, ""Ingredients ."" Have you seen this before?",bin-d
answer,"Yes, I have.",y
question,Do you recall communicating with Dr . Schultz about this time?,bin
answer,"Yes, I do .",y
question,"And the brief memo says, ""After reviewing the additional information on ingredients, I believe that we should plan to remove the following prior to March 15,"" and then it lists three ingredients, 3srenas .vI t""Acetaldehyde, Furfural"" and ""Silicon Antifoam ."" Do you see that?",bin-d
answer,I do .,y
question,". The second page is a list of some 12 compounds . On the left-hand side of the page there are four columns, left-hand column being ""Compoimd,"" the next column to the right being a heading of ""Problem"" -- I'm sorry, there are five columns -- the third column being ""FEMA,"" the fourth being ""FDA"" and the fifth being ""Poundage."" 1 As I read this chart on the second page, under the list of problems that are -- that are listed here there were a number of the 12 that had some problems associated with them ; correct?",bin-d
answer,"There's some -- Yes, something appears under the ""Problem,"" yes.",y-d
question,"Some of these, such as number nine, I S 5-methyl-furfural, and number five, furfuryl alcohol, are they the same or similar compounds?",bin-d
answer,Number four and five?,nu
question,Number five and nine .,sno
answer,"Five and nine . They're related, but not the same .",sno
question,"And your suggestion to -- to remove furfural, would that have been to remove, then, both number five and number nine?",bin
answer,"Yes, I think so, but I'm not real positive .",y-d
question,"And number four, furfural distillate?",bin
answer,I don't mention furfural distillate .,sno
question,Well you mention on the first page furfural and nothing more.,sno
answer,That's right .,y
question,. You don't mention furfuryl alcohol or 5-methyl-furfural?,bin
answer,No.,n
question,"Why -- Why would you remove -- and this is, I'm sure technically not correct -- but just plain furfural and not furfural distillate or furfuryl --",wh
answer,"Furfural -- Furfnral is not on this list, is it?",bin-d
question,"I don't see it, no .",n
answer,"No . I don't know, other than it would depend on -- on what information I had on furfural at the time itself, which is different than furfural distillate as to terms of ingredients, certainly, it's certainly different than furfuryl alcohol . It's an aldehyde. This is an alcohol . And nine, methyl-furfural, is a different -- different compound . The problems that are -- are pointed out here are something found, I guess, in the literature. However, obviously, FEMA did not consider this a toxicological problem with respect to generally regarding these as safe to use as flavorants . I think that's what the S means under ""FEMA .""",n-d
question,And FEMA stands for?,wh
answer,"Flavor Extract Manufacturers Association, I t believe .",so
question,They are the manufacturers of the -- of the compounds?,bin
answer,They're an organization of the flavor 5 manufacturers,sno
question,"And when you say ""flavors,"" you're referring to the things that are compounds on this chart?",bin-d
answer,"Yes, that's right . And of course the -- under ""FDA,"" they're approved for food use . And I presume 1""Poundage"" means the total poundage that Lorillard was using at that time --",y-d
answer,-- in all of its -- Total of everything .,sno
question,"In terms of the yesses, you believe, under the column ""FEMA"" and ""FDA,"" those stand for whether or not they've been approved for use in food products?",bin-d
answer,"Under ""FDA"" that's the case . Under ""FEMA,"" it would not be food products, but generally regarded as safc for use as flavorants, including many food products .",sno
question,"And that -- that FEMA work, however, had -- had been done with regard to additives in food products only; correct? They hadn't done work where the flavors were pyrolized as they would be in smoke ; had they?",bin-d
answer,"That's correct . But -- No, they're not necessarily pyrolized in smoke either .",y-d
question,"Many of them are, however, correct?",bin-d
answer,"No, many of them are not . It depends on the structure and the volatility of the material . Many of them transfer intact, particularly those that are volatile, and many of the flavors are volatile . 35PLARS.VI",n-d
question,". Had -- As of February of 1986, to your knowledge, had anybody done testing of these compounds where they were in a pyrolysis product of any kind and approved them for that purpose, either -- either FEMA or FDA?",bin-d
answer,"To my knowledge, neither FEMA nor FDA was considering pyrolysis .",sno
question,". And am I reading correctly that with something like number two, butyraldehyde, that that was possibly toxic by inhalation, and mutagenic ; is that right?",bin-d
answer,"There -- there would have been something in the literature. Whether it was valid or not was not a consideration, just that it would appear in the literature anything negative about a compound, or would appear in the press anything negative, it would appear, I think, under this problem . No evaluation as to whether it was true or not .",sno
question,"Despite the existence of those possible problems in the literature, there was no intent on the part of Lorillard as of February of 1986 to remove -- to remove butyraldehyde from the product?",bin
answer,"I would have to look back through all of our records, but I -- I don't -- I don't know .",dno
question,"Do you recall any time when Lorillard advised the smokers of its -- of its products that there were compounds added lhat were reported in any media, scientific or otherwise, as being possible mutagens or carcinogens contained within the product?",bin
answer,"Well of -- of -- In this context we would be reporting, you'd be asking the food manufacturers and the FDA, I guess, to report the same thing to the public . I think that's totally inappropriate. These are not known facts, these arc reports . There may be conflicting reports in the literature . You'd have to do a total -- a total review. And when we do the total reviews, we'd decide whether or not we would continue to use the material or not.",sno
question,"Well when you go to the food store and you pick a pack of cookies off the shelf, you can read all of the ingredients as a consumer that are in those cookies ; correct?",bin-d
answer,"Incorrect. You'll see flavorants, and there's no description what the flavorants are .",n-d
question,Is there a list of any ingredients of any kind that are contained on a cigarette pack?,bin
answer,Not on a cigarette pack .,n-d
question,"And so unlikc consumers of other food products, unless Lorillard makes an effort to publicize the flavorants or the compounds that are in the products, consumers of your cigarettes have no way of knowing what ingredients they are -- they are consuming ; correct?",bin-d
answer,Same thing is true of the food products .,sno
question,Same thing is true of the food products?,bin
answer,"Yes. You have a limited list of ingredients that are in foods, but you don't know what flavorants and colorants are, which where -- is where all of these kind of materials would be under the food labeling .",y-d
question,"There is not even a limited list of ingredients on a cigarette paclc, though ; is there?",bin-d
answer,There has been no list . There has been complete S disclosure of a list to the federal government repeatedly over time .,sno
question,"And my question to you, sir, is : Did Lorillard ever advise the smokers of its products that there were compounds contained within those products that were identified in any literature as being possible mutagens or carcinogens?",bin
answer,"I'm trying to answer your question . Lorillard and the other manufacturers did disclose to the public a list of all ingredients that were used in tobacco as of a date back -- I guess 1994 maybe . Other than that, there has been no disclosure that I'm aware of other than scientific articles that have indicated various things are being used as flavorants in the tobacco industry .",sno
question,And you're referring to the list of ingredients that went to the HHS?,bin
answer,That's correct .,y
question,"And that list of ingredients is not generally available to the public ; is it, sir?",bin-d
answer,"I just explained to you that that list of ingredients was made to the public in 1994, I believe .",so
question,It was made to the HHS .,sno
answer,"No, sir, it was made available to the public .",n
question,Where?,wh
answer,With a press release to the general public . The -- the list was released .,sno
question,How many ingredients are on that list?,wh
answer,Five hundred ninety sonie as I recall .,sno
question,And there isn't one that's identified with any particular manufacturer ; is there?,bin-d
answer,They're not identified by brand or by manufacturer .,sno
question,"So my question again is: As to this date, has Lorillard ever advised the consumer of -- consumers of its cigarettes what the ingredients are that they are getting when they smoke a Lorillard cigarette?",bin
answer,The answer is no . And the same is true for anyone who buys a food product .,n-d
question,And the same is true for anyone who buys any other tobacco product as well . There's no public disclosure of what ingredients they are getting ; correct?,bin-d
answer,"Unless you -- unless you want to not consider tar and nicotine as ingredients . There is a disclosure of the FTC yield of carbon monoxide, nicotine and tar .",sno
question,"Mr. Spears, are -- are you familiar with the statistics concerning the age at which most smokers begin smoking?",bin
answer,"I'm familiar with the government statistics, or government reports I guess .",sno
question,. Then you're aware that the govenunent reports show that approximately 66 percent of all smokers began smoking before the age of 18?,bin
answer,"I don't remember the precise number, but a large majority, yes .",dno
question,And that less than five percent of all smokers ever start after the age of 24?,bin
answer,Generally those are the numbers that I recall .,sno
question,And that the renewal of the market stems almost entirely from younger smokers?,bin
answer,That statem ent has been made .,sno
question,Do you believe that to be an accurate statement?,bin
answer,Well it's based on that information .,sno
question,And that these younger smokers are the only source of replacement smokers . Do you believe that's an accurate statcment?,bin-d
answer,"Well obviously I don't -- I'm not sure I understand what you mean by ""younger smokers,"" but less than 18 years of age?",nu
question,Beginners. Let's refer to them that way. The beginning smokers are the only source of replacement smokers .,sno
answer,"Oh, I think people quit and restart . I've certainly known people who have quit smoking and then restarted . I don't know what percentage they are .",dno
question,"But overall, in terms of the replacement for people who quit and die, the beginner smokers are the real source of replacement of those individuals for the industry ; are they not?",bin-d
answer,"People who ure dying who are smokers, obviously there have to be smokers from some source to replace them or the market will decrease, if-- if we're talking about number of smokers .",sno
question,"And those statistics you refer to as being government statistics about the number of people who began smoking below the age of 18, Lorillard had data internally as wcll that confirmed that ; correct, showing that there were millions of youth under the age of 17 that were smoking?",bin-d
answer,I think Lori I lard had some data that there are younger smokers . I don't think we ever had any -- 1 don't recall ever seeing a document that estimated the number.,sno
question,"I'm showing you now, sir, what's been marked as Plaintiffs' Exhibit 1242 . It is a memorandum on Lorillard letterhead dated November 25, 1981 from Laurie Moroz or Moroz, M-o-r-o-z, to J . R. Ave, subject, ""Smoke Incidence by Age Group,"" bears Bates number 03926040 through 042 . Have you seen this document before?",bin-d
answer,I'm not sure. I don't recall it at the moment .,dno
question,I believe you've identified for the record already J . R. Ave from prior documents .,so
answer,Yes .,y
question,Who is Laurie Moroz?,wh
answer,I believe she was a person in the marketing research department .,so
question,"And the copied individuals, J. G . Flinn and T . H. Mau, do you know those individuals?",bin
answer,"Flimi I identified previously as director of marketing research, and Mau was in marketing or advertising .",sno
question,"And the memorandum begins by saying, ""Attached are estimates for the number of smokers within eleven different age groups for total population, males, and females ."" See that?",bin-d
answer,I do .,y
question,"And then you look at the two attached pages . The first page, it would be the second page of the memorandum, is -- appears to be all smokers of age, not broken down by male or female, for smoker population 13 plus years . Do you see that?",bin-d
answer,I do .,y
question,". This would indicate, if I'm reading this correctly, in the first grouping, which is ages 13 to 17, that there were in the far right-hand column, which lists number of smokers in that age group, 2,175,000 . Am I reading that correctly?",bin-d
answer,"Yes, you are .",y
question,"And then in the middle column there is an estimate -- an attempt to determine what percentage of the total population that that number represents ; is that correct? Or not -- I'm sorry. Or is that the total population that that number represents in the country, period?",bin-d
answer,I believe it's in the country . Percent of population 13 plus years .,so
question,"So 1 .2 percent of all of the population in the country was aged 13 plus years, or the smokers? Do you understand what that column is purporting to say?",wh-d
answer,I'm not sure what the middle column means.,dno
question,"The first columm next to the age grouping says ""Percent of Smokers ."" That would seem to indicate what percent that group represents of all smokers?",wh-d
answer,"I would -- Yes, that's my conclusion of that title, yes .",y-d
question,Is a reasonable conclusion of the middle column the percent of the total population of 13- to 17-year-old individuals that -- that the smokers comprise?,bin-d
answer,"I think so, but I can't be a hundred percent sure .",dno
question,Had you seen information of this kind published in any other Lorillard documents before November of 1981?,bin
answer,"No . But this is the government statistics, I think, that I referred to, that I was aware that there were government statistics. At least they indicate that's the source of this information.",n-d
question,Were you aware of the govenuuent statistics from sources outside of Lorillard prior to November of 1981?,bin
answer,"Not -- not in detail, but I was generally aware that the government had published the number of smokers by age groups .",n-d
question,Has Lorillard ever done a study to -- to determine how many youth under age 18 smoke its products?,wh
answer,"I thit Ic there's been incidental information, but I don't recall a specific study, no .",n-d
question,I think at the beginning of the deposition I I I asked you what your largest-selling brand is and you told me that it was Newport .,sno
answer,That's correct .,y
question,Newport has been an extremely popular brand among young smokers under age 18 ; isn't that correct?,bin-d
answer,It's one of the brands that has relatively young demographics .,sno
question,And that's -- that's not by accident ; is it? From the beginning hasn't Newport been marketed as a fun cigarette and aimed at a youthCul market?,bin-d
answer,"It's never been aimed at a market under the legal age of smoking in terms of Lorillard's strategy, no .",n-d
question,But has it been aimed at a youthful market?,bin
answer,"Well what -- I don't know what you mean by ""youthful,"" but it's -- it's not been aimed specifically at anyone . It's been aimed at the smoker franchise, including the younger demographics in the smoker franchise, the legal smoker franchise .",sno
question,"Showing you now, sir, what's been marked as Plaintiffs' Exhibit 1243, it is a memorandum on Lorillard letterhead, General Office, New York, dated September 15, 1964, from M . Yellen to M. J. Cramer, and it bears Bates numbers 01124257 -- (clearing throat) excuse me -- through 265 . Is this a documcnt that you have seen before?",bin-d
answer,"Yes, it is .",y
question,Do you recall the first time that you saw this document?,bin
answer,In preparation for this deposition .,sno
question,"This document appears to be a memorandum regarding Lorillard's sales position, is the subject. Mr. Cramer is listed as the president and CEO of the company as of September 1964 . Do you Imow who M. Yellen is'?",bin-d
answer,"Yes, I do .",y
question,Who is that?,wh
answer,I believe he was the sales vice-president or sales director . Probably sales director at this time .,so
question,"And in this memorandum he reviews the sales position on a number of Lorillard products, and at page six he addresses Newport. Do you see that?",bin-d
answer,Yes .,y
question,"And he says, about the middle o f the page in the third full paragraph near the end, "" We had to sell a, quote, certain type, close quote, of person on the brand of NEWPORT until such time as we could establish sufficient volume to make the brand profitable and then gradually change our image to obtain, quote, other types of smokers, close quote, period . ""The brand was marketed as a, quote, fun cigarette, close quote . It was advertised as such and obtained a youthful group as woll as an immature group of smokers."" See that?",bin-d
answer,Yes .,y
question,"Were you aware at about the mid-1960s, when this was being written, that Lorillard had at that time attracted a youthful and immature group of smokers?",bin
answer,No .,n
question,When is the first time that that became known to you?,wh
answer,"Well as I recall at this time, Newport was struggling to have a significant presence in the marketplace, I don't remember what its sales volume was but it was relatively small, and later almost had a significant sales reversal, in other words, declining sales, and then later turned around . But--",dno
question,"And it was as a result of this early effort to make this a fun cigarette and advertise it to, as such, the youthful and immature group that it attracted that made it -- made the base of Lorillard's business the high-school student ; correct?",bin-d
answer,"I don't kmow that . I certainly wouldn't concludes that that's what lie means by ""immature group."" I don't know what he means by those words .",sno
question,"Well it--it-- It was reported as such, was it not, by -- in 1978, that the base of Lorillard's business in Newport is the high-school student?",bin-d
answer,It was reported when?,wh
question,In 1978 .,sno
answer,"I saw a memo -- I have seen a memo that makes that statement. But again I have no definition what ""base"" means. It certainly wasn't a significant volume .",sno
question,"Showing you now what's been marked as Plaintiffs' Exhibit 1244, it is a memorandum on Lorillard letterhead from T . L. Achey or Achey, A-c-h-e-y, to Mr. Curtis Judge, dated August 30, 1978, bearing Bates stamp number 03537131 through 7132 . Have you seen this memorandum before?",bin-d
answer,I have .,y
question,And in August of 1978 was Curtis Judge the presidcnt of Lorillard?,bin
answer,"Yes, he was .",y
question,And do you know who T . L. -- is it Achey or Achey?,or
answer,Achey .,sno
question,Achey. Do you know who T. L. Achey is?,bin
answer,"I think he was a-- I'm not sure exactly what his capacity was in the sales organization, but lie was a field sales individual out in the field .",dno
question,"And the subject of this memo is just identified as ""Product Lifonnation,"" and he says in the third paragraph, ""The success of NEWPORT has been fantastic during the past few years . Our profile taken locally shows this brand being purchased by black people, parens, all ages, close parens, young adults, parens, usually college age, close parens, but the base of our business is the high school student ."" Do you see that?",bin-d
answer,I do .,y
question,Were you a vice-president by August of 1978?,bin
answer,Yes.,y
question,"Did you ever recall a time in your interactions with Curtis Judge when he came to you and said, ""You know, I'm really concerned . I've --1've found out that one of our products has a basc of business in under-age smokers?""",bin
answer,No .,n
question,Is that something you would have expected him to share with you i f it was a subject that troubled him?,bin
answer,"I think ifhe Qrought it was signiCicant, he would have indicated that to tne .",sno
question,"Hc says -- Achey says in the next paragraph, ""NEWPORT in the 1970's is tuming into the Marlboro of the 60's and 70's. It is the, quote, In, close quote, brand to smoke if you want to be one of the group ."" Do you see that?",bin-d
answer,I do .,y
question,"Was Newport advertising, to your knowledge, aimed generally at making Newport appear to be the in cigarette among a group of friends or individuals?",bin
answer,No . The Newport advertising has been consistent over the years ; same type of advertising that it is today .,n-d
question,Did that advertising rely to a great extent upon peer acceptance?,bin
answer,"I think pcer pressure is probably importantin terms of what an individual smokes . I think it's -- You know, what their parents smoke has a bearing on it in tenns oCaccess to cigarettes, this sort of thing. So I think if a brand is generally popular among a part of the population, it extends to the younger ages .",sno
question,And did Lorillard attempt to capitalize on that phenomenon by having the ads exert peer acceptance and peer pressure?,bin
answer,No. I said the ads were similar to what they are today.,n-d
question,"He goes on to say, ""Our problem is the younger consumer that does not desire a menthol cigarette . If that person desires a non-uicnthoi, hut wants to be part of the, quote, In group, close quote, he goes to Marlboro . ""Could we be furnishing a back-lash to Marlboro from our NEWPORT brands, question mark."" He then goes on and suggests the development of a-- an additional product, an extension of Newport into a non-menthol product ; correct?",bin-d
answer,Correct .,y
question,Was that concept something that was ever considered by Lorillard?,bin
answer,Yes .,y
question,. Was a non-menthol Newport product ever either developed or tested or put on the market?,bin
answer,Yes .,y
question,For what period of time?,wh
answer,"I think it was -- I can't remember how far the distribution went and whether it went national or whether it was a major test market, but the brand was called Newport Red .",dno
answer,And it was a failure .,sno
question,It never reached a full-scale commercial market; did it?,bin
answer,"I'm not sure, but it certainly didn't generate sales to the point where it was a viable brand . It was discontinued .",dno
answer,Mr. Achey must have been wrong .,sno
question,There are other internal documents that show that Lorillard has confirmed the young starting age of smokers in some of the studies that it has done as well; isn't that true?,bin-d
answer,"I think that we're aware that there are under-age smokers, if -- if that's your question . I'm not sure what documents you're referring to .",sno
question,"Showing you now, sir, what's been marked as Plaintiffs' Exhibit 1245, it's entitled ""An Exploratory Study for Newport, SMOKING AND PURCHASE BEHAVIOR OF YOUNG ADULTS,"" conducted for Lorillard, 3 October 1981, and it bears Bates numbers through 689 . Have you seen this document before?",bin-d
answer,I think so .,so
question,And the persons conducting this study appear to be shoi balaban dickinson research'?,bin
answer,"-- first page, yes .",incomplete
question,Their name appears in the lower le$ of the cover page .,sno
answer,"Yes, it does .",y
question,Is that a research group that you're familiar with?,bin
answer,"I think I-- I know the name, yes . I'm not terribly familiar with them, but I recognize the name .",y-d
question,"Have -- Have they done other work, research work for Lorillard over the years?",bin
answer,I think they have .,so
question,"In this particular research, if you turn to it's the fourth page of the document, to numbered page one at the bottom of the page, ""Foreward"" at the top, it says, ""The objectives of the study have been to investigate: ""Smoking and purchase behavior of young men and women"" -- I'm sorry, let me start again . ""Smoking and purchase behavior of young men and young women 18 to 24 years of age, with special emphasis on young adults who smoke Newport Green and Marlboro."" And then secondly, ""Peer group attitudes related to smoking and the effects of peer group on brand selection."" And then thirdly, ""Exposure to media and recall of advertising ."" And they reflect two groups of women aged 18 to 24 and two groups of men aged 18 to 24 with, I believe, a total numbor ofparticipants of 32, if you go to the back of the report, second-to-the-last page where they give background characteristics of the respondents. See that?",bin-d
answer,"Yes, I do .",y
question,Appears to be a total respondents of 32 in this study?,bin
answer,Yes.,y
question,. They did this in interview sessions with the individuals ; correct?,bin-d
answer,Hmm. I'd have to look at it as to what they did .,sno
answer,Yes. These were focus -- so-called focus groups .,y-d
question,"If you turn to page five, at the bottom of the page, the first -- this is in -- under the summary of their findings, but at the top of the page they say, ""Three out of four respondents have been smoking their current brand for several years . These young adults evidence strong brand preference and loyalty . Adoption of current brand was very often motivated by a desire to smoke the same brand as a close friend or friends."" See that?",bin-d
answer,Yes. That's what I indicated carlier.,y-d
question,"Right. That that -- That's something that Lorillard already knew . This wasn't new information; correct, that young people are very strongly brand loyal?",bin-d
answer,"Well I don't -- I don't know that 32 people provide you very much information on that, it's just within this group of 32, and if you N~ anted to follow up on that, you would conduct a much larger study .",sno
question,"Did you already know, however, at Lorillard, by this time, that young people were strongly brand loyal, not -- not just this group, but young people generally were?",bin
answer,"I don't know how much we knew about brand loyalty. I think we certainly knew that -- and believed, at least I did, that many people smoked the brands that are smoked by their peers and/or their parents .",dno
question,"And then in the third paragraph on page five they say, ""One-half of these respondents began to smoke at ages 10 to 13 years, with most of the remainder starting to smoke berivccn 14 to 17 years of age, with the pattern precisely equal between male and female respondents. Among these participants, it 19 was rare to start smoking at an age older than years."" See that?",bin-d
answer,I see that .,y
question,"And again, that -- that confirmed the government statistics that Lorillard was already aware of, that people beyond the age of 18 who were smokers, the largc majority of them started before the age of 18 ; correct?",bin-d
answer,"I would say it a different way . I would say this is consistent with what the government has indicated. However, this is an extraordinarily small study, with 32 subjects .",sno
question,"They also say in the next paragraph, ""Marlboro and Newport were mentioned far more often than any other brands as the initial brand smoked."" And then sticking with the initial brand, in the last sentence of that paragraph they say, ""The initial brand smoked was almost always the same brand used by a family member or friends, with friends cited far more often as smoking the initial brand ."" See that?",bin-d
answer,Consistent with what I just said .,sno
question,"But within that consistent statement, it is true, is it not, that the peer influence of friends was known to be a much greater influence than that of fami ly or other adults?",bin-d
answer,I'm not sure.,dno
question,"On the next page, top of page six, in the second parasraph -- find that? Second paragraph, first sentence says, ""Discussion of response to various types of promotional cfforts shows these young smokers to be quite um-esponsive - a reflection of their loyalty to current brand .""",bin-d
answer,1 see that .,sno
question,". Again it was relatively well known -- well lrnown by this time at Lorillard, was it not, that young people in particular, but smokers in general, tended to be quite brand loyal?",bin
answer,"That's what this data says . And as I say, it's, 1 think, consistent with -- with what the government has indicated . But certainly I wouldn't call this study the definitive one . I consider -- consider it to be consistent with larger studies .",sno
question,I-Iad -- Had you seen statistics that indicated the percentage of smokers each year that were true switchers amounted to only three to four percent of smokers?,bin
answer,"I think it depends on what poinu in history you're looking at the switching data . I've seen switehing data much higher than that during the period of time that there were man% brand extensions coming into tlie marketplace with lower tar/nicotine numbers, for example, so it depends on when in history you're looking at it . Brand switching, I thinlc, varies, from what I've seen, from maybe as high as 15 or 16 percent down to this two or three percent .",sno
question,"And if you did some kind of a retrospective surncy looking at a median number, would it be low, at closer to that three to four percent than at the range at the higher end of 15 percent?",bin-d
answer,"I -- I don't think you -- I don't think there is such a thing as a median number that means anything . As I say, it depends . If there are no alternatives in the marketplace, you're not going to get as much switching as if there is. For example, when price brands, lower-price brands came iii the marketplace, I'm sure that there was large switching rates . So it depends, really, on what is happening in the marketplace as to what the switching rates are .",n-d
